SQ_CANDIDATO;CD_GENERO_N;CD_GRAU_INSTRUCAO_N;NR_PARTIDO_N;CD_OCUPACAO_N;CD_SITUCAO_N;CARGO_N;RECEITA_TOTAL_N;QTD_VOTOS_N;CUSTO_VOTO_N;DESPESA_CONTRATADA_N;VR_TOTAL_BEM_CANDIDATO_N
50000608076;0.2;0.8;0.15;0.257;0.4;0.6;0.024551;0.055743;4.40432e-05;0.245490027;0.009258397
160000621773;0.2;0.8;0.15;0.131;0.5;0.6;0.0015272;0.008299;1.84022e-05;0.0142;0.006185581
210000605915;0.4;0.8;0.77;0.134;0.5;0.7;0.00018452;0.000447;4.1279600000000004e-05;0.001049255;0.0
170000614073;0.2;0.6;0.11;0.277;0.5;0.6;0.0180988;0.036327;4.98219e-05;0.210340035;0.032235111000000004
220000615594;0.2;0.8;0.4;0.101;0.5;0.7;0.00010305;0.000231;4.46104e-05;0.00100264;0.0017064270000000002
130000624459;0.4;0.8;0.19;0.277;0.5;0.6;0.02499915;0.036234;6.89936e-05;0.24717503899999999;0.037586761
250000623723;0.4;0.7;0.28;0.402;0.4;0.6;0.00015428;0.000315;4.89778e-05;0.00015;0.0
60000624940;0.2;0.3;0.33;0.235;0.4;0.7;0.00021462;0.000596;3.60101e-05;0.00150064;0.0
130000610141;0.4;0.4;0.51;0.923;0.5;0.7;5e-05;0.000164;3.0487800000000003e-05;0.0;0.0
190000602103;0.4;0.8;0.5;0.133;0.5;0.6;0.00016831;0.000662;2.5424499999999997e-05;0.00040950199999999996;0.0
160000623134;0.2;0.7;0.33;0.257;0.5;0.6;0.02372127;0.034206;6.93483e-05;0.236241007;0.033589671
190000608726;0.2;0.8;0.45;0.131;0.5;0.7;0.00360312;0.007208;4.9987799999999996e-05;0.03444184;0.000264
250000603998;0.2;0.8;0.15;0.171;0.5;0.6;0.00111892;0.002161;5.17779e-05;0.009030528000000001;0.00026839400000000003
250000604089;0.4;0.3;0.15;0.402;0.5;0.6;7.036e-05;0.000335;2.1003000000000002e-05;0.00050018;3e-05
50000605148;0.4;0.6;0.2;0.14;0.5;0.7;9.815e-05;0.00021;4.6738100000000006e-05;0.00061377;1e-05
240000627328;0.4;0.8;0.44;0.128;0.5;0.7;5.125e-05;0.000155;3.3064499999999995e-05;0.0;4e-06
250000601549;0.2;0.5;0.5;0.531;0.5;0.7;1.806e-05;0.000145;1.24552e-05;0.0;0.0
190000621118;0.2;0.7;0.54;0.931;0.5;0.7;0.00058958;0.004163;1.41624e-05;0.0034700000000000004;0.0
170000610295;0.2;0.8;0.4;0.131;0.5;0.6;0.00575829;0.014647;3.93138e-05;0.054020788;0.000133702
170000621414;0.4;0.6;0.65;0.278;0.5;0.7;0.00044984;0.001673;2.68882e-05;0.003909588;3e-05
60000601239;0.4;0.8;0.9;0.265;0.5;0.6;0.00011414;0.000347;3.28934e-05;0.001;0.00015
190000607419;0.2;0.6;0.25;0.277;0.5;0.6;0.00779466;0.021556;3.616e-05;0.078872975;6.1e-05
120000624889;0.2;0.8;0.27;0.999;0.5;0.7;6.562e-05;0.000251;2.61434e-05;7.7761e-05;0.000133
90000619170;0.4;0.6;0.13;0.606;0.5;0.6;0.00018166;0.000513;3.5411300000000004e-05;0.0014;0.0
90000613668;0.2;0.8;0.31;0.125;0.4;0.7;5.6e-05;0.000104;5.38462e-05;0.0;0.00025
180000614054;0.4;0.8;0.11;0.23;0.5;0.7;0.00980156;0.021584;4.5411199999999996e-05;0.09225854300000001;0.0009049360000000001
60000604492;0.2;0.8;0.3;0.999;0.4;0.6;0.00756011;0.003029;0.00024959099999999996;0.075372744;0.005891829
230000609348;0.2;0.7;0.43;0.999;0.5;0.7;6.571e-05;6.2e-05;0.0001059839;0.0;0.0
250000604977;0.2;0.6;0.77;0.999;0.5;0.7;9.898e-05;9.2e-05;0.00010758700000000001;0.0005;0.0
50000622962;0.4;0.6;0.36;0.999;0.4;0.6;1.508e-05;5.6e-05;2.69286e-05;0.0;0.0
60000620582;0.2;0.7;0.5;0.228;0.5;0.7;6.165e-05;0.000236;2.61229e-05;0.0;0.0
70000622457;0.2;0.8;0.9;0.233;0.4;0.6;0.003434;0.011114;3.0898e-05;0.03034048;0.00069168
130000606678;0.4;0.3;0.5;0.598;0.5;0.6;3.405e-05;0.000177;1.92373e-05;0.0;0.0
20000606322;0.2;0.3;0.13;0.237;0.5;0.7;0.00016324;0.00028;5.83e-05;0.0011;0.0
220000615585;0.4;0.8;0.4;0.113;0.5;0.7;0.00050235;0.000401;0.0001252743;0.005007165;1.35e-07
170000617341;0.4;0.6;0.7;0.999;0.5;0.7;4.7e-05;0.000107;4.3925200000000004e-05;0.000298;0.0
190000606129;0.4;0.6;0.31;0.999;0.5;0.7;5.2e-05;0.000121;4.29752e-05;0.0005;0.0
90000629156;0.4;0.8;0.15;0.124;0.5;0.7;0.00032;0.001116;2.86738e-05;0.003;0.0
190000603287;0.4;0.6;0.77;0.512;0.5;0.7;0.00018272;0.000233;7.84206e-05;0.0016815;7e-06
