SQ_CANDIDATO;NR_VOTAVEL;CARGO_N;SITUCAO_N;RECEITA_TOTAL;QTD_VOTOS;CUSTO_VOTO;VR_TOTAL_BEM_CANDIDATO;Recursos_partido;Recursos_proprios;Recursos_outros_candidatos;Recursos_pessoas_fisicas;Rendimentos_aplicacoes;Financiamento_Coletivo;origens_nao_identificadas;Comercio_bens_ou_eventos;Doacoes_Internet;DESPESA_CONTRATADA
170000614160;2211.0;0.6;0.5;0.0005;3.02e-05;0.0016556291390728475;0.006;0.0005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005
170000617086;17555.0;0.7;0.5;0.0011026400000000002;0.0007459;0.00014782678643249767;0.0027094472;0.001;2.64e-06;0.0;0.0001;0.0;0.0;0.0;0.0;0.0;0.001000015
170000617092;17000.0;0.7;0.5;0.0113204;0.0007971;0.0014201982185422155;0.00035;0.0039;0.0;0.07325;9.54e-05;0.0;0.0;0.0;0.0;0.0;0.00789836
170000624075;2929.0;0.6;0.4;5.9999999999999995e-05;6.6e-06;0.0009090909090909092;0.0;5.9999999999999995e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170000614069;1177.0;0.6;0.5;0.0052531159999999995;0.0008353;0.0006288897402130973;0.00197602;0.0;0.0;0.01;0.003908315999999999;0.0;0.0034479999999999997;0.0;0.0;0.0;0.0052531159999999995
170000607381;5032.0;0.6;0.4;0.000174;1.07e-05;0.0016261682242990655;0.0;0.000174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.690000000000001e-05
170000610375;40333.0;0.7;0.5;0.0;1e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170000617161;1730.0;0.6;0.5;0.04;2.7399999999999995e-05;0.145985401459854;0.0051553895;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.039202
170000616993;4500.0;0.6;0.5;0.098406;0.0020025999999999998;0.004913911914511136;0.005;0.091925;0.0;0.0;0.006295;0.0;0.00186;0.0;0.0;0.0;0.10492909700000007
170000614148;77677.0;0.7;0.5;0.002925;0.0001464;0.001997950819672131;0.003043985;0.002525;0.0004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0028924159999999997
170000617341;70432.0;0.7;0.5;0.00062;1.07e-05;0.005794392523364486;0.0;0.0003;0.0;0.0;0.00032;0.0;0.0;0.0;0.0;0.0;0.0
170000616990;2525.0;0.6;0.5;0.104580915;0.0054131;0.001931996730154625;0.0009346555;0.035;0.0;0.0;0.06958005;0.00865;0.0;0.0;0.0;0.0;0.113958218
170000607347;5077.0;0.6;0.4;0.000174;2.49e-05;0.0006987951807228915;0.0;0.000174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001
170000628225;23321.0;0.7;0.4;0.00023264;2.7000000000000002e-05;0.0008616296296296296;0.0;3.132e-05;1.32e-06;0.002;0.0;0.0;0.0;0.0;0.0;0.0;0.00020264
170000617161;1730.0;0.6;0.5;0.04;2.7399999999999995e-05;0.145985401459854;0.0051553895;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.039202
170000627498;1811.0;0.6;0.4;0.001511;0.0001317;0.0011473044798785115;0.0002;0.0;0.0014199999999999998;0.0;0.0;0.0;0.00091;0.0;0.0;0.0;0.0015110000000000002
170000617121;31121.0;0.7;0.5;0.001201355;7e-07;0.17162214285714286;0.0;0.0012;0.0;0.0;1.3550000000000002e-06;0.0;0.0;0.0;0.0;0.0;0.00098271
170000617119;31545.0;0.7;0.5;0.0003;7.000000000000001e-06;0.004285714285714285;0.00156;0.0003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003
170000621394;65654.0;0.7;0.5;0.000455;6.1e-06;0.007459016393442624;0.0;0.0;0.0;0.00255;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
170000617154;2888.0;0.6;0.5;0.011593862;0.0009112;0.0012723729148375767;0.0021463823;0.0;0.003;0.0;0.00837;0.0;0.00223862;0.0;0.0;0.0;0.011181901999999992
170000617389;90140.0;0.7;0.5;0.014174678000000001;0.0007478;0.0018955172506017648;0.0044608091;0.0;0.002810678;0.01299;0.010065000000000001;0.0;0.0;0.0;0.0;0.0;0.012825677999999995
170000621462;1390.0;0.6;0.5;0.0015;2.34e-05;0.00641025641025641;0.00045;0.0015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0015
