SQ_CANDIDATO;CD_GENERO_N;CD_GRAU_INSTRUCAO_N;NR_PARTIDO_N;CD_OCUPACAO_N;CD_SITUCAO_N;CARGO_N;RECEITA_TOTAL_N;QTD_VOTOS_N;CUSTO_VOTO_N;DESPESA_CONTRATADA_N;VR_TOTAL_BEM_CANDIDATO_N
50000608076;0.2;0.8;0.15;0.257;0.4;0.6;0.024551;0.055743;4.40432e-05;0.245490027;0.009258397
160000621773;0.2;0.8;0.15;0.131;0.5;0.6;0.0015272;0.008299;1.84022e-05;0.0142;0.006185581
130000624459;0.4;0.8;0.19;0.277;0.5;0.6;0.02499915;0.036234;6.89936e-05;0.24717503899999999;0.037586761
110000614602;0.2;0.8;0.14;0.169;0.5;0.7;0.00448204;0.009154;4.8962600000000005e-05;0.039315008;0.002285923
110000621222;0.2;0.6;0.1;0.999;0.5;0.7;0.00011075;0.000268;4.13246e-05;0.00059675;0.000166
250000623668;0.2;0.6;0.28;0.257;0.4;0.7;0.00024417;0.000489;4.99325e-05;0.002270688;0.0
80000628782;0.4;0.6;0.2;0.131;0.5;0.7;7e-06;1.3e-05;5.38462e-05;0.0;0.0
70000614521;0.2;0.8;0.15;0.101;0.5;0.6;0.02186611;0.027917;7.83254e-05;0.20658661;0.010120521
60000604492;0.2;0.8;0.3;0.999;0.4;0.6;0.00756011;0.003029;0.00024959099999999996;0.075372744;0.005891829
210000615807;0.2;0.7;0.43;0.999;0.5;0.7;0.00260356;0.007204;3.6140500000000004e-05;0.019876401000000002;0.00055804
230000609348;0.2;0.7;0.43;0.999;0.5;0.7;6.571e-05;6.2e-05;0.0001059839;0.0;0.0
140000627205;0.4;0.8;0.65;0.923;0.5;0.6;0.01406271;0.054058;2.60141e-05;0.134079458;0.001118743
80000625570;0.2;0.6;0.27;0.169;0.5;0.7;4.941e-05;0.000137;3.60657e-05;0.0;0.0
160000624240;0.2;0.8;0.23;0.257;0.5;0.7;0.0045172;0.014797;3.05278e-05;0.0432;0.002619127
230000602456;0.2;0.4;0.77;0.277;0.5;0.7;0.00122318;0.002739;4.46579e-05;0.009984996999999999;0.001110298
110000621626;0.2;0.7;0.77;0.101;0.5;0.7;0.00017625;0.000536;3.28825e-05;0.001;0.000215
50000605177;0.4;0.8;0.14;0.125;0.5;0.7;0.00997529;0.017111;5.82975e-05;0.09949664;0.000295652
90000620446;0.2;0.7;0.4;0.278;0.5;0.7;0.000511;0.001545;3.30744e-05;0.00491;0.000899197
90000619170;0.4;0.6;0.13;0.606;0.5;0.6;0.00018166;0.000513;3.5411300000000004e-05;0.0014;0.0
120000624891;0.4;0.4;0.27;0.999;0.5;0.7;7.762e-05;0.000166;4.6759e-05;0.0005;0.0
130000606504;0.2;0.8;0.7;0.599;0.5;0.6;0.00015077;0.000332;4.5412700000000007e-05;0.000536;0.00013
100000629951;0.4;0.4;0.11;0.999;0.5;0.6;0.00045;0.000902;4.9889099999999996e-05;0.0;0.0
110000621664;0.4;0.8;0.44;0.131;0.5;0.6;0.0012602;0.00243;5.18601e-05;0.012145506;0.0
20000622723;0.2;0.4;0.14;0.999;0.5;0.7;0.0002;0.000288;6.94444e-05;0.0008;0.0
70000627352;0.4;0.7;0.27;0.999;0.4;0.6;4.222e-05;9.8e-05;4.30816e-05;0.0;0.0
90000615137;0.2;0.6;0.14;0.169;0.5;0.7;0.00437323;0.01428;3.06249e-05;0.043732303;0.000126886
120000624879;0.2;0.8;0.2;0.999;0.5;0.7;0.0001129;0.000401;2.81546e-05;0.0008457610000000001;0.0
250000605489;0.4;0.6;0.55;0.411;0.5;0.6;0.00055;0.001398;3.9341900000000004e-05;0.005499065;0.0
180000614057;0.2;0.8;0.13;0.125;0.5;0.7;0.00297006;0.023795;1.24819e-05;0.02282837;3.9180000000000004e-06
190000624736;0.4;0.7;0.44;0.999;0.4;0.6;2e-05;9.5e-05;2.1052600000000002e-05;0.0002;0.0
130000606498;0.2;0.8;0.7;0.923;0.5;0.6;0.00159132;0.003993;3.98527e-05;0.013609999999999999;0.006366
190000613045;0.2;0.4;0.7;0.999;0.5;0.7;6.235e-05;0.000439;1.42027e-05;0.0;0.0
110000609522;0.2;0.8;0.17;0.999;0.5;0.7;0.00166643;0.006364;2.61853e-05;0.01381725;0.001408
20000616961;0.4;0.6;0.54;0.243;0.5;0.7;2.184e-05;8.1e-05;2.6963000000000003e-05;0.00010139;0.0
250000604977;0.2;0.6;0.77;0.999;0.5;0.7;9.898e-05;9.2e-05;0.00010758700000000001;0.0005;0.0
230000602393;0.4;0.8;0.15;0.277;0.5;0.6;0.0248659;0.004555;0.0005459034;0.244686525;0.002202554
90000602537;0.2;0.8;0.77;0.257;0.5;0.7;0.00107953;0.005609;1.9246400000000003e-05;0.011006143000000001;0.000102659
190000610734;0.4;0.8;0.65;0.999;0.4;0.7;5.974e-05;0.000277;2.1566799999999998e-05;8.449e-05;0.0
200000603818;0.4;0.6;0.1;0.169;0.5;0.7;8.2e-05;0.000304;2.69737e-05;0.0002;8e-07
