NR_VOTAVEL;CARGO_N;SITUCAO_N;RECEITA_TOTAL;QTD_VOTOS;CUSTO_VOTO;VR_TOTAL_BEM_CANDIDATO;Recursos_partido;Recursos_proprios;Recursos_outros_candidatos;Recursos_pessoas_fisicas;Rendimentos_aplicacoes;Financiamento_Coletivo;origens_nao_identificadas;Comercio_bens_ou_eventos;Doacoes_Internet;DESPESA_CONTRATADA
17000;0.7;0.5;0.0113204;0.0007971;0.0014201982185422155;0.00035;0.0039;0.0;0.07325;9.54e-05;0.0;0.0;0.0;0.0;0.0;0.00789836
3010;0.6;0.4;0.001470569;0.0001268;0.0011597547318611984;0.0002796066;0.00010991599999999998;0.001358153;0.0;0.0;0.0;2.5e-05;0.0;0.0;0.0;0.001360653
28345;0.7;0.5;0.013065842;0.0004013;0.003255878893595814;0.0021858;0.0;0.00158386;0.11281982;0.0002;0.0;0.0;0.0;0.0;0.0;0.01196144
31000;0.7;0.5;0.0007;4.36e-05;0.0016055045871559632;0.0;0.0005;0.0;0.0;0.0002;0.0;0.0;0.0;0.0;0.0;0.000300268
65252;0.7;0.5;0.00044;5.8299999999999994e-05;0.0007547169811320754;0.0;0.0;0.0;0.0024;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
5161;0.6;0.5;0.0003;1.24e-05;0.002419354838709677;0.0;0.0003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003
11900;0.7;0.5;0.01;0.0015551999999999999;0.0006430041152263374;0.0059;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010159999999999999
65753;0.7;0.5;0.0003045;1.4400000000000001e-05;0.0021145833333333333;0.0049;0.0;0.0;0.001045;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
1836;0.6;0.4;0.00014;1.12e-05;0.00125;0.0;4e-05;0.0001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00014
27500;0.7;0.5;0.00035299999999999996;3.21e-05;0.0010996884735202492;0.0;0.00026000000000000003;7.4e-05;0.00018999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.00022375100000000006
2323;0.6;0.2;0.145066289;0.0097745;0.0014841300219960102;0.0084985152;0.130279757;0.0038865320000000003;0.0;0.0109;0.0;0.0;0.0;0.0;0.0;0.14706628899999974
1122;0.6;0.5;0.15;0.0006207999999999999;0.02416237113402062;0.0052186734;0.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14983271899999973
65622;0.7;0.5;0.004498428;0.0001673;0.002688839210998207;0.0003;0.001;0.0004;0.012475;0.001850928;0.0;0.0;0.0;0.0;0.0;0.003909588
20222;0.7;0.5;0.006004570999999999;0.0007644;0.0007855273417059133;0.0058055118000000005;0.0;0.0043;0.01684571;2e-05;0.0;0.0;0.0;0.0;0.0;0.00432
1919;0.6;0.2;0.10077699999999999;0.0073551;0.0013701649195796116;0.0507572845;0.1;0.00064;0.00137;0.0;0.0;0.0;0.0;0.0;0.0;0.10059511799999994
23193;0.7;0.4;0.00018;1.9699999999999998e-05;0.0009137055837563454;0.0;2.9999999999999997e-05;0.0;0.0015;0.0;0.0;0.0;0.0;0.0;0.0;0.00015
11677;0.7;0.5;0.09077312;0.0025949000000000002;0.003498135573625188;0.0;0.01;0.006509999999999999;0.6400311999999999;0.01026;0.0;0.0;0.0;0.0;0.0;0.074339557
1799;0.6;0.5;0.002;0.0002998;0.00066711140760507;0.0057799999999999995;0.002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001999
65300;0.7;0.5;0.00028199999999999997;1.76e-05;0.0016022727272727276;0.0;0.0;0.0;0.00082;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
65880;0.7;0.5;0.000297;1.6e-05;0.00185625;0.0008;0.0;0.0;0.0009699999999999999;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
27007;0.7;0.5;0.000429;8.2e-06;0.005231707317073171;0.0;0.00041;0.0;0.00018999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.00034999999999999994
65659;0.7;0.5;0.0004625;4.5e-05;0.0010277777777777776;0.0;0.0;0.0;0.002625;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
4490;0.6;0.4;0.006703639999999999;0.0012752;0.0005256932245922208;0.00398;0.0;0.00620364;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.006703639999999999
31333;0.7;0.5;0.0007;6.670000000000001e-05;0.0010494752623688157;0.00026000000000000003;0.0005;0.0;0.0;0.0002;0.0;0.0;0.0;0.0;0.0;0.00029
1730;0.6;0.5;0.04;2.7399999999999995e-05;0.145985401459854;0.0051553895;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.039202
90090;0.7;0.5;0.02;3.7000000000000006e-06;0.5405405405405405;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01227887
1818;0.6;0.4;0.0042975;0.000154;0.002790584415584416;0.0;0.004;0.0;0.0;0.0002975;0.0;0.0;0.0;0.0;0.0;0.004050000000000001
10000;0.7;0.5;0.011225065;0.00047939999999999994;0.0023414820609094704;0.002;0.0;0.00061;0.1;0.000615;0.00065;0.0;0.0;0.0;0.0;0.011225065
2525;0.6;0.5;0.104580915;0.0054131;0.001931996730154625;0.0009346555;0.035;0.0;0.0;0.06958005;0.00865;0.0;0.0;0.0;0.0;0.113958218
4577;0.6;0.5;0.0009884;0.0001419;0.0006965468639887245;0.0078758399;2.5e-05;2e-06;0.0;0.000735;0.0;0.002264;0.0;0.0;0.0;0.00039956
20200;0.7;0.5;0.011236041;0.0008369;0.001342578683235751;0.0148511219;0.011000000000000001;0.000135;0.0;0.0;0.0;0.00101041;0.0;0.0;0.0;0.011231583
3366;0.6;0.5;0.00018395999999999994;1.64e-05;0.0011217073170731702;0.0;0.0;3.96e-06;0.0018;0.0;0.0;0.0;0.0;0.0;0.0;3.9599999999999985e-06
1480;0.6;0.5;0.00011999999999999999;7.499999999999999e-06;0.0016;0.0;0.0;5.9999999999999995e-05;0.0;5.9999999999999995e-05;0.0;0.0;0.0;0.0;0.0;0.0
25123;0.7;0.5;0.00143;4.1700000000000004e-05;0.003429256594724221;0.0;0.00137;0.0;0.0;5.9999999999999995e-05;0.0;0.0;0.0;0.0;0.0;0.0
23155;0.7;0.4;0.00033999999999999997;2.33e-05;0.0014592274678111587;0.0;0.00033999999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003
28190;0.7;0.5;0.00268964;0.00037060000000000006;0.0007257528332433893;0.0007282511999999999;0.0;0.002687;0.0;2.64e-06;0.0;0.0;0.0;0.0;0.0;0.0026896400000000005
65640;0.7;0.5;0.00043499999999999995;0.000146;0.0002979452054794521;0.0;0.0;0.0;0.00235;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
50000;0.7;0.5;0.018559042;0.0014056;0.0013203643995446782;0.00215;0.010364542;0.0044;0.0;0.0036845;0.0;0.0011;0.0;0.0;0.0;0.018559041999999998
40789;0.7;0.5;0.05334876799999999;0.0011755000000000001;0.00453838945129732;0.002254978;0.05;1.15e-07;0.009000000000000001;0.0017280000000000002;0.0;0.00720653;0.0;0.0;0.0;0.05333425100000001
2222;0.6;0.5;0.1818;0.0035353000000000003;0.005142420728085311;0.0136148009;0.18;0.0018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18018468499999954
14777;0.7;0.5;0.0015;2.52e-05;0.005952380952380953;0.0;0.0015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
90458;0.7;0.5;0.015;1.47e-05;0.1020408163265306;0.0;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014508065999999997
1310;0.6;0.2;0.12835979500000005;0.0193108;0.0006647046989249541;0.012982216600000002;0.1;0.027000000000000003;0.0;0.000657826;0.0;0.00701969;0.0;0.0;0.0;0.12835979500000022
90469;0.7;0.5;0.00300264;0.00014480000000000002;0.002073646408839779;0.001;0.00300264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00300264
