SQ_CANDIDATO;CD_GENERO_N;CD_GRAU_INSTRUCAO_N;NR_PARTIDO_N;CD_OCUPACAO_N;CD_SITUCAO_N;CARGO_N;RECEITA_TOTAL_N;QTD_VOTOS_N;CUSTO_VOTO_N;DESPESA_CONTRATADA_N;VR_TOTAL_BEM_CANDIDATO_N
50000608076;0.2;0.8;0.15;0.257;0.4;0.6;0.024551;0.055743;4.40432e-05;0.245490027;0.009258397
210000605915;0.4;0.8;0.77;0.134;0.5;0.7;0.00018452;0.000447;4.1279600000000004e-05;0.001049255;0.0
130000624459;0.4;0.8;0.19;0.277;0.5;0.6;0.02499915;0.036234;6.89936e-05;0.24717503899999999;0.037586761
130000620918;0.4;0.8;0.1;0.111;0.5;0.7;0.00890812;0.034293;2.59765e-05;0.08577881;0.001224734
220000615594;0.2;0.8;0.4;0.101;0.5;0.7;0.00010305;0.000231;4.46104e-05;0.00100264;0.0017064270000000002
180000608760;0.4;0.6;0.77;0.296;0.5;0.7;0.001509;0.005382;2.8037899999999998e-05;0.015025100000000001;0.0
190000602099;0.2;0.8;0.5;0.278;0.5;0.6;0.00102687;0.002853;3.5992600000000005e-05;0.008969421;0.0
60000620530;0.4;0.7;0.5;0.999;0.5;0.7;6.699e-05;0.000203;3.3e-05;0.0;0.0
190000603297;0.2;0.6;0.77;0.278;0.4;0.7;0.00126819;0.006879;1.84357e-05;0.010599965;0.000508187
160000623134;0.2;0.7;0.33;0.257;0.5;0.6;0.02372127;0.034206;6.93483e-05;0.236241007;0.033589671
190000608726;0.2;0.8;0.45;0.131;0.5;0.7;0.00360312;0.007208;4.9987799999999996e-05;0.03444184;0.000264
110000623379;0.2;0.8;0.12;0.602;0.5;0.7;0.00120922;0.003039;3.9790100000000004e-05;0.01088654;0.027655969
250000603998;0.2;0.8;0.15;0.171;0.5;0.6;0.00111892;0.002161;5.17779e-05;0.009030528000000001;0.00026839400000000003
250000605759;0.2;0.7;0.55;0.278;0.5;0.7;0.00025;0.001305;1.91571e-05;0.00243045;3.34e-05
240000619247;0.2;0.7;0.4;0.257;0.5;0.6;0.02126968;0.019837;0.00010722229999999999;0.20973334899999999;0.017436383
160000619623;0.2;0.6;0.31;0.169;0.5;0.6;0.00054734;0.003865;1.4161400000000001e-05;0.0014967239999999998;0.000249
10000624298;0.2;0.5;0.45;0.601;0.5;0.7;3.597e-05;9.6e-05;3.74688e-05;0.0001;0.000255
60000612044;0.2;0.7;0.13;0.298;0.5;0.7;9.52e-05;0.000309;3.0809099999999996e-05;0.00017835;2.9e-05
30000602689;0.2;0.8;0.31;0.999;0.5;0.6;0.001815;0.002317;7.833409999999999e-05;0.01797724;0.000551
80000613535;0.4;0.8;0.45;0.278;0.5;0.7;0.00435654;0.008735;4.98745e-05;0.031225547000000003;0.000518
170000617008;0.4;0.6;0.45;0.999;0.4;0.7;0.00042125;0.001566;2.68997e-05;0.00399132;9e-06
230000611677;0.2;0.8;0.17;0.999;0.5;0.7;0.00022725;0.001823;1.24657e-05;0.0014376620000000001;0.000238
40000608175;0.4;0.8;0.36;0.134;0.5;0.7;0.00013303;0.000618;2.15259e-05;0.0;8e-06
220000611846;0.2;0.5;0.11;0.278;0.5;0.7;0.00172028;0.003506;4.90667e-05;0.011250851000000001;0.00022693
190000626364;0.2;0.6;0.1;0.221;0.5;0.6;0.00010507;0.000433;2.42656e-05;0.00037;1.67e-05
210000611989;0.2;0.5;0.22;0.278;0.5;0.7;0.00090279;0.002193;4.1166899999999994e-05;0.00751644;1e-05
170000617374;0.2;0.6;0.7;0.257;0.5;0.7;3.34e-05;6.2e-05;5.3871000000000006e-05;6.4e-05;5.5e-05
110000614617;0.2;0.8;0.14;0.257;0.5;0.7;0.00154188;0.003583;4.30332e-05;0.013340713;0.00024
250000623659;0.2;0.6;0.28;0.169;0.4;0.7;2.147e-05;0.000102;2.1049e-05;0.0001;0.0
90000608291;0.2;0.8;0.2;0.234;0.5;0.7;0.00414537;0.004324;9.586889999999999e-05;0.040518702000000004;0.007503317
190000619293;0.2;0.6;0.2;0.502;0.5;0.7;0.00010095;0.000444;2.27365e-05;0.000919;0.0002
160000619868;0.4;0.4;0.55;0.257;0.5;0.7;0.00034871;0.00063;5.53508e-05;0.003745263;0.0
140000613488;0.4;0.7;0.77;0.999;0.5;0.7;0.00032;0.001059;3.02172e-05;0.0;0.0
230000602338;0.4;0.8;0.7;0.121;0.5;0.7;1.45e-05;4.4e-05;3.29545e-05;4.5e-05;0.0
40000618275;0.2;0.6;0.15;0.257;0.5;0.7;0.0001457;0.000258;5.64729e-05;0.00075;5e-07
270000618841;0.2;0.7;0.25;0.237;0.5;0.7;6.32e-05;0.00016;3.95e-05;3.8428e-05;0.000295
