SQ_CANDIDATO;NR_VOTAVEL;CARGO_N;SITUCAO_N;RECEITA_TOTAL;QTD_VOTOS;CUSTO_VOTO;VR_TOTAL_BEM_CANDIDATO;Recursos_partido;Recursos_proprios;Recursos_outros_candidatos;Recursos_pessoas_fisicas;Rendimentos_aplicacoes;Financiamento_Coletivo;origens_nao_identificadas;Comercio_bens_ou_eventos;Doacoes_Internet;DESPESA_CONTRATADA
170000605128;14.0;0.3;0.4;0.681838092;0.1361588;0.0005007668193315452;0.167547205;0.3169;0.121655;0.48917;0.194326;0.0;0.00040092;0.0;0.0;0.0;0.68182878
170000607349;5088.0;0.6;0.4;0.000573;0.0002311;0.00024794461272176547;0.0;0.000573;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00044332
170000626609;3633.0;0.6;0.4;0.00010196700000000001;3.289999999999999e-05;0.00030993009118541033;0.0;0.0001;0.0;0.0;0.0;0.0;1.9670000000000006e-05;0.0;0.0;0.0;1.967e-06
170000614073;1133.0;0.6;0.5;0.180988035;0.0036327;0.004982190519448344;0.322351121;0.17940799999999998;0.0;0.0;0.001580035;0.0;0.0;0.0;0.0;0.0;0.21034003499999987
170000614082;11000.0;0.7;0.5;0.0392135;0.0026444000000000003;0.0014828883678717287;0.0154358646;0.01;0.0191;0.101135;0.0;0.0;0.0;0.0;0.0;0.0;0.03907923
170000617182;28528.0;0.7;0.5;0.0001;7.269999999999999e-05;0.00013755158184319122;0.00033999999999999997;0.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.0;0.0;0.0
170000614159;2222.0;0.6;0.5;0.1818;0.0035353000000000003;0.005142420728085311;0.0136148009;0.18;0.0018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18018468499999954
170000627484;1842.0;0.6;0.4;9e-05;0.0001065;8.450704225352113e-05;0.00018;0.0;9e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170000614148;77677.0;0.7;0.5;0.002925;0.0001464;0.001997950819672131;0.003043985;0.002525;0.0004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0028924159999999997
170000621367;65753.0;0.7;0.5;0.0003045;1.4400000000000001e-05;0.0021145833333333333;0.0049;0.0;0.0;0.001045;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
170000617470;51050.0;0.7;0.4;0.0001;1.87e-05;0.0005347593582887701;0.0;0.0001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170000629020;90090.0;0.7;0.5;0.02;3.7000000000000006e-06;0.5405405405405405;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01227887
170000617328;70400.0;0.7;0.5;0.00062;1.7199999999999998e-05;0.0036046511627906975;0.0;0.0003;0.0;0.0;0.00032;0.0;0.0;0.0;0.0;0.0;0.0
170000603086;20020.0;0.7;0.5;0.0046023999999999995;0.0008318999999999999;0.00055323957206395;0.0051140058;0.0;0.002879;0.0;0.0017234000000000001;0.0;0.0;0.0;0.0;0.0;0.004602168000000001
170000621407;65313.0;0.7;0.5;0.00246;7.41e-05;0.0033198380566801613;0.0;0.001;0.0;0.0126;0.0002;0.0;0.0;0.0;0.0;0.0;0.00174848
170000621414;65622.0;0.7;0.5;0.004498428;0.0001673;0.002688839210998207;0.0003;0.001;0.0004;0.012475;0.001850928;0.0;0.0;0.0;0.0;0.0;0.003909588
170000617095;17517.0;0.7;0.5;0.001;9.290000000000001e-05;0.001076426264800861;0.00036;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001
170000617118;31333.0;0.7;0.5;0.0007;6.670000000000001e-05;0.0010494752623688157;0.00026000000000000003;0.0005;0.0;0.0;0.0002;0.0;0.0;0.0;0.0;0.0;0.00029
170000607354;5037.0;0.6;0.4;0.000185;8.3e-06;0.0022289156626506025;0.0;0.000185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170000603145;27007.0;0.7;0.5;0.000429;8.2e-06;0.005231707317073171;0.0;0.00041;0.0;0.00018999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.00034999999999999994
170000617052;10010.0;0.7;0.5;0.0;3.570000000000001e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170000617019;45600.0;0.7;0.5;0.017273136;7.09e-05;0.024362674188998592;0.0010389765;0.017246136000000002;6e-06;0.0;2.1e-05;0.0;0.0;0.0;0.0;0.0;0.004855135000000003
