NR_VOTAVEL,DS_CARGO,DS_SIT_TOT_TURNO,RECEITA_TOTAL,QTD_VOTOS,CUSTO_VOTO,VR_TOTAL_BEM_CANDIDATO,Recursos_partido,Recursos_proprios,Recursos_outros_candidatos,Recursos_pessoas_fisicas,Rendimentos_aplicacoes,Financiamento_Coletivo,origens_nao_identificadas,Comercio_bens_ou_eventos,Doacoes_Internet,0.000000000,0.000000000,0.000000000,0,0
188,SENADOR,NÃO ELEITO,0.005555739514,0.04792990161,0.000075851,0.003536485,0.003098735,0.003287044,-0.000132548,0.010540091,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
4010,DEPUTADO FEDERAL,ELEITO POR QP,0.169522909489,0.04777037855,0.002725083,0.029448538,0.204800529,0.024658977,0.003181144,0.001284725,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
1515,DEPUTADO FEDERAL,ELEITO POR QP,0.133933865375,0.04565904397,0.002249627,0.021121646,0.130454704,-0.000000945,-0.000132548,0.118390734,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
1234,DEPUTADO FEDERAL,ELEITO POR QP,0.094146350713,0.04305610728,0.001674270,0.067679556,0.103098940,0.042916345,-0.000132548,0.018523828,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
1190,DEPUTADO FEDERAL,ELEITO POR QP,0.295943468093,0.04278450103,0.005324364,0.016422169,0.326895987,-0.000000945,-0.000132548,0.133331700,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
4000,DEPUTADO FEDERAL,ELEITO POR QP,0.185525558537,0.04196446911,0.003398491,0.211902302,0.201571265,0.113927895,-0.000132548,0.023412529,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
7777,DEPUTADO FEDERAL,ELEITO POR MÉDIA,0.138881040353,0.04056681774,0.002628882,0.033235534,0.140370334,0.082198795,0.001587319,0.050815287,-0.002063099,0.113438664,-0.003025794,#DIV/0!,,,,,,
1212,DEPUTADO FEDERAL,ELEITO POR MÉDIA,0.020443073162,0.03943295288,0.000386655,-0.000000031,0.016912401,0.009460245,-0.000132548,0.021068525,-0.002063099,0.041688928,-0.003025794,#DIV/0!,,,,,,
1919,DEPUTADO FEDERAL,ELEITO POR QP,0.125966203951,0.03834287865,0.002521581,0.157459592,0.155037030,0.005259838,0.001518274,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
1314,DEPUTADO FEDERAL,ELEITO POR QP,0.057336898781,0.03753692229,0.001165514,0.002205804,0.067439952,-0.000000945,-0.000132548,0.005658826,-0.002063099,0.262406700,-0.003025794,#DIV/0!,,,,,,
